symbol	name	entrez_id	ensembl_gene_id	uniprot_ids
A1BG	alpha-1-B glycoprotein	1	ENSG00000121410	P04217
A1BG-AS1	A1BG antisense RNA 1	503538	ENSG00000268895	
A1CF	APOBEC1 complementation factor	29974	ENSG00000148584	Q9NQ94
A2M	alpha-2-macroglobulin	2	ENSG00000175899	P01023
A2M-AS1	A2M antisense RNA 1	144571	ENSG00000245105	
A2ML1	alpha-2-macroglobulin like 1	144568	ENSG00000166535	A8K2U0
A2ML1-AS1	A2ML1 antisense RNA 1	100874108	ENSG00000256661	
A2ML1-AS2	A2ML1 antisense RNA 2	106478979	ENSG00000256904	
A2MP1	alpha-2-macroglobulin pseudogene 1	3	ENSG00000256069	
A3GALT2	alpha 1,3-galactosyltransferase 2	127550	ENSG00000184389	U3KPV4
A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	53947	ENSG00000128274	Q9NPC4
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146	ENSG00000118017	Q9UNA3
AAAS	aladin WD repeat nucleoporin	8086	ENSG00000094914	Q9NRG9
AACS	acetoacetyl-CoA synthetase	65985	ENSG00000081760	Q86V21
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	729522	ENSG00000250420	
AADAC	arylacetamide deacetylase	13	ENSG00000114771	P22760
AADACL2	arylacetamide deacetylase like 2	344752	ENSG00000197953	Q6P093
AADACL2-AS1	AADACL2 antisense RNA 1	101928142	ENSG00000242908	
AADACL3	arylacetamide deacetylase like 3	126767	ENSG00000188984	Q5VUY0
AADACL4	arylacetamide deacetylase like 4	343066	ENSG00000204518	Q5VUY2
AADACP1	arylacetamide deacetylase pseudogene 1	201651	ENSG00000240602	
AADAT	aminoadipate aminotransferase	51166	ENSG00000109576	Q8N5Z0
AAGAB	alpha and gamma adaptin binding protein	79719	ENSG00000103591	Q6PD74
AAK1	AP2 associated kinase 1	22848	ENSG00000115977	Q2M2I8
AAMDC	adipogenesis associated Mth938 domain containing	28971	ENSG00000087884	Q9H7C9
