OrphaCode,Definition,Phenotypes_Obligate,Phenotypes_Very_frequent,Phenotypes_Frequent,Phenotypes_Occasional,Prevalence,Prevalence_pmid,OMIM
656279,,,,,,Unknown,,618815
261183,"15q11.2 microdeletion syndrome is a rare partial autosomal monosomy with a variable phenotypic expression and reduced penetrance associated with an increased susceptibility to neuropsychiatric or neurodevelopmental disorders including delayed psychomotor development, speech delay, autism spectrum disorder, attention deficit-hyperactivity disorder, obsessive-compulsive disorder, epilepsy or seizures. It may also include mild non-specific dysmorphic features (such as dysplastic ears, broad forehead, hypertelorism), cleft palate, neurological and neuroimaging abnormalities (such as ataxia and muscular hypotonia).",,,Abnormal palate morphology (HP:0000174); Abnormal pinna morphology (HP:0000377); Atypical behavior (HP:0000708); Delayed speech and language development (HP:0000750); Intellectual disability (HP:0001249); Global developmental delay (HP:0001263); Motor delay (HP:0001270); Abnormal facial shape (HP:0001999); Memory impairment (HP:0002354); Thick cerebral cortex (HP:0006891); Attention deficit hyperactivity disorder (HP:0007018); Dyslexia (HP:0010522); Brain imaging abnormality (HP:0410263),Microcephaly (HP:0000252); Broad forehead (HP:0000337); Autism (HP:0000717); Autistic behavior (HP:0000729); Short attention span (HP:0000736); Seizure (HP:0001250); Ataxia (HP:0001251); Abnormal heart morphology (HP:0001627); Postural instability (HP:0002172); Poor coordination (HP:0002370); Self-injurious behavior (HP:0100716); Schizophrenia (HP:0100753),Unknown,25689425,615656
739,"A rare genetic, neurodevelopmental syndrome characterized by hypothalamic-pituitary dysfunction with severe hypotonia and feeding deficits during the neonatal period followed by an excessive weight gain period with hyperphagia with a risk of severe obesity during childhood and adulthood, learning difficulties, deficits of social skills and behavioral problems or severe psychiatric problems.",,Cryptorchidism (HP:0000028); Anxiety (HP:0000739); Infertility (HP:0000789); Hypotonia (HP:0001252); Motor delay (HP:0001270); Growth delay (HP:0001510); Dysphagia (HP:0002015); Short stature (HP:0004322); Feeding difficulties in infancy (HP:0008872); Abnormal temper tantrums (HP:0025160),"Abnormal rapid eye movement sleep (HP:0002494); Gastroparesis (HP:0002578); Polyphagia (HP:0002591); Scoliosis (HP:0002650); Increased susceptibility to fractures (HP:0002659); Obstructive sleep apnea (HP:0002870); External genital hypoplasia (HP:0003241); Hypopigmentation of hair (HP:0005599); Accelerated skeletal maturation (HP:0005616); Enamel hypoplasia (HP:0006297); Intellectual disability, borderline (HP:0006889); Attention deficit hyperactivity disorder (HP:0007018); Decreased testicular size (HP:0008734); Central sleep apnea (HP:0010536); Impaired temperature sensation (HP:0010829); Small pituitary gland (HP:0012506); Perisylvian polymicrogyria (HP:0012650); Abdominal obesity (HP:0012743); Decreased circulating gonadotropin level (HP:0030339); Reduced circulating growth hormone concentration (HP:0034323); Small hand (HP:0200055); Brain imaging abnormality (HP:0410263); Small scrotum (HP:0000046); Hypoplastic labia majora (HP:0000059); Clitoral hypoplasia (HP:0000060); Hypoplastic labia minora (HP:0000064); Hypogonadism (HP:0000135); Abnormality of the dentition (HP:0000164); Strabismus (HP:0000486); Hypermetropia (HP:0000540); Myopia (HP:0000545); Dental crowding (HP:0000678); Periodontitis (HP:0000704); Atypical behavior (HP:0000708); Delayed speech and language development (HP:0000750); Primary amenorrhea (HP:0000786); Delayed puberty (HP:0000823); Decreased response to growth hormone stimulation test (HP:0000824); Osteopenia (HP:0000938); Osteoporosis (HP:0000939); Edema (HP:0000969); Hypopigmentation of the skin (HP:0001010); Erysipelas (HP:0001055); Intellectual disability, mild (HP:0001256); Hyporeflexia (HP:0001265); Specific learning disability (HP:0001328); Failure to thrive (HP:0001508); Decreased fetal movement (HP:0001558); Weak cry (HP:0001612); Short foot (HP:0001773); Abnormal facial shape (HP:0001999); Poor suck (HP:0002033); Ventriculomegaly (HP:0002119); Recurrent respiratory infections (HP:0002205)","Xerostomia (HP:0000217); Narrow nasal bridge (HP:0000446); Psychosis (HP:0000709); Autistic behavior (HP:0000729); Hypertension (HP:0000822); Seizure (HP:0001250); Excessive daytime somnolence (HP:0001262); Stroke (HP:0001297); Hip dysplasia (HP:0001385); Vomiting (HP:0002013); Gastroesophageal reflux (HP:0002020); Intellectual disability, moderate (HP:0002342); Abnormal cerebral white matter morphology (HP:0002500); Downturned corners of mouth (HP:0002714); Type II diabetes mellitus (HP:0005978); Almond-shaped palpebral fissure (HP:0007874); Pituitary hypothyroidism (HP:0008245); Nasogastric tube feeding in infancy (HP:0011470); Adrenocorticotropic hormone deficiency (HP:0011748); Central hypothyroidism (HP:0011787); Skin-picking (HP:0012166); Premature pubarche (HP:0012411); Premature adrenarche (HP:0012412); Decreased inhibin B level (HP:0031100)",1-9 / 100 000,,176270; 615547
96069,"Distal trisomy 1p36 is a rare chromosomal anomaly syndrome, resulting from the partial duplication of the short arm of chromosome 1, characterized by borderline to mild intellectual disability, mild developmental delay, metopic craniosynostosis and mild craniofacial dysmorphism (incl. slopping forehead, bitemporal narrowing, blepharophimosis). Other associated abnormalities may include growth retardation, microcephaly, large hands, syndactyly, supernumerary ribs, rectal stenosis and/or anterior displacement of anus. Congenital heart malformations (e.g. atrial septal defect, patent ductus arteriosus) have also been reported.",,,,,Unknown,,
904,"A rare genetic multisystemic neurodevelopmental disorder characterized by a distinct facial appearance, cardiac anomalies (most frequently supravalvular aortic stenosis), cognitive and developmental abnormalities, and connective tissue abnormalities (e.g., joint laxity). Facial dysmorphism is characterized by a broad forehead, bitemporal narrowing, periorbital fullness, stellate and/or lacy iris pattern, short upturned nose with bulbous tip, long philtrum, wide mouth, full lips and mild micrognathia.",,"Wide mouth (HP:0000154); Macroglossia (HP:0000158); Thick lower lip vermilion (HP:0000179); Everted lower lip vermilion (HP:0000232); Narrow face (HP:0000275); Coarse facial features (HP:0000280); Epicanthus (HP:0000286); Pointed chin (HP:0000307); Broad forehead (HP:0000337); Long philtrum (HP:0000343); Micrognathia (HP:0000347); High forehead (HP:0000348); Low-set, posteriorly rotated ears (HP:0000368); Macrotia (HP:0000400); Protruding ear (HP:0000411); Wide nasal bridge (HP:0000431); Abnormality of the neck (HP:0000464); Blepharophimosis (HP:0000581); Depression (HP:0000716); Anxiety (HP:0000739); Intellectual disability (HP:0001249); Ataxia (HP:0001251); Gait disturbance (HP:0001288); Dysmetria (HP:0001310); Tremor (HP:0001337); Hyperreflexia (HP:0001347); Failure to thrive in infancy (HP:0001531); Abnormality of the voice (HP:0001608); Hoarse voice (HP:0001609); Abnormality of the cardiovascular system (HP:0001626); Abdominal pain (HP:0002027); Abnormality of extrapyramidal motor function (HP:0002071); Gait imbalance (HP:0002141); Abnormality of speech or vocalization (HP:0002167); Phonophobia (HP:0002183); Abnormality of pelvic girdle bone morphology (HP:0002644); Hypercalcemia (HP:0003072); Short nose (HP:0003196); Involuntary movements (HP:0004305); Short stature (HP:0004322); Elfin facies (HP:0004428); High hypermetropia (HP:0008499); Dysgraphia (HP:0010526); Hyperacusis (HP:0010780); Open bite (HP:0010807); Abnormal social behavior (HP:0012433); Abnormal nervous system morphology (HP:0012639); Overfriendliness (HP:0100025); Periorbital edema (HP:0100539)",Abnormality of the bladder (HP:0000014); Inguinal hernia (HP:0000023); Renal insufficiency (HP:0000083); Proteinuria (HP:0000093); Pelvic kidney (HP:0000125); Microcephaly (HP:0000252); Chronic otitis media (HP:0000389); Sensorineural hearing impairment (HP:0000407); Strabismus (HP:0000486); Visual impairment (HP:0000505); Hypodontia (HP:0000668); Abnormality of dental enamel (HP:0000682); Dental malocclusion (HP:0000689); Microdontia (HP:0000691); Autism (HP:0000717); Obsessive-compulsive behavior (HP:0000722); Hypertension (HP:0000822); Sacral dimple (HP:0000960); Abnormal fingernail morphology (HP:0001231); Hypotonia (HP:0001252); Spasticity (HP:0001257); Stroke (HP:0001297); Nystagmus-induced head nodding (HP:0001361); Joint stiffness (HP:0001387); Obesity (HP:0001513); Redundant skin (HP:0001582); Mitral valve prolapse (HP:0001634); Pulmonic stenosis (HP:0001642); Mitral regurgitation (HP:0001653); Pes planus (HP:0001763); Hypoplastic toenails (HP:0001800); Hallux valgus (HP:0001822); Nausea and vomiting (HP:0002017); Constipation (HP:0002019); Hypercalciuria (HP:0002150); Colonic diverticula (HP:0002253); Cerebral ischemia (HP:0002637); Kyphosis (HP:0002808); Arthralgia (HP:0002829); Genu valgum (HP:0002857); Elevated circulating creatine kinase concentration (HP:0003236); Hyperlordosis (HP:0003307); Clinodactyly of the 5th finger (HP:0004209); Supravalvular aortic stenosis (HP:0004381); Peripheral pulmonary artery stenosis (HP:0004969); Abnormal dental morphology (HP:0006482); Attention deficit hyperactivity disorder (HP:0007018); Hypoplasia of the zygomatic bone (HP:0010669); Arterial stenosis (HP:0100545); Abnormality of the cerebral vasculature (HP:0100659); Insomnia (HP:0100785); Renovascular hypertension (HP:0100817); Down-sloping shoulders (HP:0200021),Recurrent urinary tract infections (HP:0000010); Bladder diverticulum (HP:0000015); Functional abnormality of male internal genitalia (HP:0000025); Cryptorchidism (HP:0000028); Hypogonadotropic hypogonadism (HP:0000044); Renal duplication (HP:0000075); Vesicoureteral reflux (HP:0000076); Renal hypoplasia (HP:0000089); Nephrocalcinosis (HP:0000121); Polycystic ovaries (HP:0000147); Gingival overgrowth (HP:0000212); Megalocornea (HP:0000485); Glaucoma (HP:0000501); Cataract (HP:0000518); Myopia (HP:0000545); Posterior embryotoxon (HP:0000627); Lacrimation abnormality (HP:0000632); Blue irides (HP:0000635); Carious teeth (HP:0000670); Pectus excavatum (HP:0000767); Nephrolithiasis (HP:0000787); Hypothyroidism (HP:0000821); Precocious puberty (HP:0000826); Osteopenia (HP:0000938); Osteoporosis (HP:0000939); Nevus flammeus (HP:0001052); Cholelithiasis (HP:0001081); Retinal arteriolar tortuosity (HP:0001136); Adducted thumb (HP:0001181); Dysarthria (HP:0001260); Joint laxity (HP:0001388); Umbilical hernia (HP:0001537); Dysphonia (HP:0001618); Ventricular septal defect (HP:0001629); Atrial septal defect (HP:0001631); Congestive heart failure (HP:0001635); Tetralogy of Fallot (HP:0001636); Hypertrophic cardiomyopathy (HP:0001639); Cardiomegaly (HP:0001640); Patent ductus arteriosus (HP:0001643); Sudden cardiac death (HP:0001645); Bicuspid aortic valve (HP:0001647); Myocardial infarction (HP:0001658); Abnormal cardiac septum morphology (HP:0001671); Tubulointerstitial abnormality (HP:0001969); Gastroesophageal reflux (HP:0002020); Malabsorption (HP:0002024); Rectal prolapse (HP:0002035); Cerebral cortical atrophy (HP:0002120); Recurrent respiratory infections (HP:0002205); Chiari malformation (HP:0002308); Developmental regression (HP:0002376); Tracheoesophageal fistula (HP:0002575); Overriding aorta (HP:0002623); Scoliosis (HP:0002650); Delayed skeletal maturation (HP:0002750); Radioulnar synostosis (HP:0002974); Patellar dislocation (HP:0002999); Abnormality of the ankles (HP:0003028); Abnormal circulating lipid concentration (HP:0003119); Myopathy (HP:0003198); Spina bifida occulta (HP:0003298); Abnormal form of the vertebral bodies (HP:0003312); Vertebral segmentation defect (HP:0003422); Abnormality of the gastric mucosa (HP:0004295); Abnormality of the endocardium (HP:0004306); Peptic ulcer (HP:0004398); Dilatation of the aortic arch (HP:0005113); Abnormality of the carotid arteries (HP:0005344); Multiple renal cysts (HP:0005562); Joint hyperflexibility (HP:0005692); Type II diabetes mellitus (HP:0005978); Atrophy/Degeneration involving the corticospinal tracts (HP:0007372); Abnormal dermatoglyphics (HP:0007477); Prematurely aged appearance (HP:0007495); Flat cornea (HP:0007720); Corneal opacity (HP:0007957); Aplasia/Hypoplasia of the iris (HP:0008053); Urethral stenosis (HP:0008661); Hypoplasia of penis (HP:0008736); Abnormality of the diencephalon (HP:0010662); Increased nuchal translucency (HP:0010880); Increased bone mineral density (HP:0011001); Synostosis of joints (HP:0100240); Death in early adulthood (HP:0100613),Unknown,,194050
96121,"7q11.23 microduplication syndrome is a rare chromosomal anomaly syndrome resulting from the partial duplication of the long arm of chromosome 7 characterized by a highly variable phenotype that typically manifests with mild to moderate intellectual disability (patients could be in the normal range), speech disorders (particularly of expressive language), and distinctive craniofacial features (brachycephaly, broad forehead, straight eyebows, broad nasal tip, short philtrum, thin upper lip and facial asymmetry). Hypotonia, developmental coordination disorders, behavioral problems (such as anxiety, ADHD and oppositional disorders) and various congenital anomalies, such as heart defects, diaphragmatic hernia, renal malformations and cryptorchidism, are frequently presented. Neurological abnormalities (visible on MRI) have been reported.",,Delayed speech and language development (HP:0000750),"High palate (HP:0000218); Thin upper lip vermilion (HP:0000219); Brachycephaly (HP:0000248); Macrocephaly (HP:0000256); Dolichocephaly (HP:0000268); Retrognathia (HP:0000278); Short philtrum (HP:0000322); Broad forehead (HP:0000337); Micrognathia (HP:0000347); Abnormality of earlobe (HP:0000363); Low-set, posteriorly rotated ears (HP:0000368); Broad nasal tip (HP:0000455); Deeply set eye (HP:0000490); Long eyelashes (HP:0000527); Dental malocclusion (HP:0000689); Diastema (HP:0000699); Anxiety (HP:0000739); Hyperactivity (HP:0000752); Congenital diaphragmatic hernia (HP:0000776); Single transverse palmar crease (HP:0000954); Intellectual disability, mild (HP:0001256); Motor delay (HP:0001270); Generalized hypotonia (HP:0001290); Dysmetria (HP:0001310); Cerebellar hypoplasia (HP:0001321); Craniosynostosis (HP:0001363); Aortic dilatation (HP:0001724); Abnormal facial shape (HP:0001999); Morphological central nervous system abnormality (HP:0002011); Ventriculomegaly (HP:0002119); Unsteady gait (HP:0002317); Intellectual disability, moderate (HP:0002342); Simplified gyral pattern (HP:0009879); Abnormal columella morphology (HP:0009929); Chronic constipation (HP:0012450)","Inguinal hernia (HP:0000023); Cryptorchidism (HP:0000028); Short lingual frenulum (HP:0000200); Thin vermilion border (HP:0000233); Hypertelorism (HP:0000316); High forehead (HP:0000348); Chronic otitis media (HP:0000389); Overfolded helix (HP:0000396); Esotropia (HP:0000565); Aggressive behavior (HP:0000718); Abnormal repetitive mannerisms (HP:0000733); Impaired social interactions (HP:0000735); Autism with high cognitive abilities (HP:0000753); Cutis marmorata (HP:0000965); Seizure (HP:0001250); Joint hypermobility (HP:0001382); Growth delay (HP:0001510); Obesity (HP:0001513); Patent ductus arteriosus (HP:0001643); Mutism (HP:0002300); Drooling (HP:0002307); Sleep abnormality (HP:0002360); Polyphagia (HP:0002591); Short stature (HP:0004322); Sparse anterior scalp hair (HP:0004768); Large earlobe (HP:0009748); Impaired visuospatial constructive cognition (HP:0010794); Intellectual disability, severe (HP:0010864); Horizontal eyebrow (HP:0011228); Asymmetric crying face (HP:0011333)",Unknown,27617154,609757
251038,3q29 microduplications are recently described chromosomal abnormalities with unclear clinical significance.,,,Abnormality of the dentition (HP:0000164); Microcephaly (HP:0000252); Downslanted palpebral fissures (HP:0000494); Intellectual disability (HP:0001249); Hypotonia (HP:0001252); Global developmental delay (HP:0001263); Obesity (HP:0001513),Cleft palate (HP:0000175); High palate (HP:0000218); Large fontanelles (HP:0000239); Macrocephaly (HP:0000256); High forehead (HP:0000348); Hearing impairment (HP:0000365); Low-set ears (HP:0000369); Wide nasal bridge (HP:0000431); Short neck (HP:0000470); Cataract (HP:0000518); Aniridia (HP:0000526); Microphthalmia (HP:0000568); Iris coloboma (HP:0000612); Sclerocornea (HP:0000647); Seizure (HP:0001250); Craniosynostosis (HP:0001363); Ventricular septal defect (HP:0001629); Toe syndactyly (HP:0001770); Camptodactyly of toe (HP:0001836); Sandal gap (HP:0001852); Deep philtrum (HP:0002002); Ectopic anus (HP:0004397); Biparietal narrowing (HP:0004422),Unknown,,611936
276413,"10q22.3q23.3 microdeletion syndrome is a rare partial autosomal monosomy characterized by a mild facial dysmorphism variably including macrocephaly, broad forehead, hypertelorism or hypotelorism, deep-set eyes, upslanting or downslanting palpebral fissures, low-set ears, flat nasal bridge, smooth philtrum, thin upper lip), cleft palate, cerebellar and cardiac malformations, psychomotor development delay, and behavioral abnormalities (attention deficit hyperactivity disorder, autism). Other rare features may include congenital breast aplasia, arachnodactyly, joint hyperlaxity, club feet, feeding difficulties, failure to thrive.",,Macrocephaly (HP:0000256); Intellectual disability (HP:0001249); Global developmental delay (HP:0001263); Language impairment (HP:0002463),Hypertelorism (HP:0000316); Low-set ears (HP:0000369); Depressed nasal bridge (HP:0005280),Microcephaly (HP:0000252); Epicanthus (HP:0000286); Microretrognathia (HP:0000308); Anteverted nares (HP:0000463); Downslanted palpebral fissures (HP:0000494); Upslanted palpebral fissure (HP:0000582); Hypotelorism (HP:0000601); Autism (HP:0000717); Arachnodactyly (HP:0001166); Seizure (HP:0001250); Cerebellar hypoplasia (HP:0001321); Failure to thrive (HP:0001508); Patent ductus arteriosus (HP:0001643); Tricuspid valve prolapse (HP:0001704); Talipes (HP:0001883); Frontal bossing (HP:0002007); Chiari malformation (HP:0002308); Joint hyperflexibility (HP:0005692); Atrioventricular canal defect (HP:0006695); Attention deficit hyperactivity disorder (HP:0007018); Curved middle phalanx of the 4th toe (HP:0100444); Breast aplasia (HP:0100783); Intestinal polyposis (HP:0200008),Unknown,,612242
370079,"Proximal 16p11.2 microduplication syndrome is a rare chromosomal anomaly syndrome resulting from a partial duplication of the short arm of chromosome 16 characterized by developmental delay and intellectual disability of a highly variable degree, autism spectrum, obsessive-compulsive, attention deficit hyperactivity disorder, speech articulation abnormalities, muscular hypotonia, tremor, hyper- or hyporeflexia, seizures, microcephaly, neuroimaging abnormalities, decreased body mass index and schizophrenia or bipolar disorder later on in life.",,Thin upper lip vermilion (HP:0000219); Microcephaly (HP:0000252); Hypertelorism (HP:0000316); Smooth philtrum (HP:0000319); Deeply set eye (HP:0000490); Sparse eyelashes (HP:0000653); Delayed speech and language development (HP:0000750); Arachnodactyly (HP:0001166); Intellectual disability (HP:0001249); Hypotonia (HP:0001252); Hyporeflexia (HP:0001265); Motor delay (HP:0001270); Tremor (HP:0001337); Failure to thrive (HP:0001508); Short stature (HP:0004322); Microtia (HP:0008551); Speech articulation difficulties (HP:0009088); Flat face (HP:0012368); Abnormal basal ganglia MRI signal intensity (HP:0012751); Sparse eyebrow (HP:0045075); Decreased body mass index (HP:0045082),Obsessive-compulsive behavior (HP:0000722); Autistic behavior (HP:0000729); Anxiety (HP:0000739); Global developmental delay (HP:0001263); Attention deficit hyperactivity disorder (HP:0007018); Abnormal visual accommodation (HP:0030800),Autism (HP:0000717); Congenital diaphragmatic hernia (HP:0000776); Seizure (HP:0001250); Frontal bossing (HP:0002007); Scoliosis (HP:0002650); Bipolar affective disorder (HP:0007302); Abnormality of the hairline (HP:0009553); Underdeveloped supraorbital ridges (HP:0009891); Schizophrenia (HP:0100753),Unknown,,614671
261197,"The proximal 16p11.2 microdeletion syndrome is a chromosomal anomaly characterized by developmental and language delays, mild intellectual disability, social impairments (autism spectrum disorders), mild variable dysmorphism and predisposition to obesity.",,Atypical behavior (HP:0000708); Autistic behavior (HP:0000729); Global developmental delay (HP:0001263),"Macrocephaly (HP:0000256); Delayed speech and language development (HP:0000750); Intellectual disability (HP:0001249); Intellectual disability, mild (HP:0001256); Motor delay (HP:0001270); Specific learning disability (HP:0001328); Severe expressive language delay (HP:0006863); Attention deficit hyperactivity disorder (HP:0007018); Speech articulation difficulties (HP:0009088); Moderate receptive language delay (HP:0011351); Brain imaging abnormality (HP:0410263)",Hypertelorism (HP:0000316); Broad forehead (HP:0000337); Micrognathia (HP:0000347); Conductive hearing impairment (HP:0000405); Sensorineural hearing impairment (HP:0000407); Autism (HP:0000717); Abnormal repetitive mannerisms (HP:0000733); Impaired social interactions (HP:0000735); Seizure (HP:0001250); Choreoathetosis (HP:0001266); Dystonia (HP:0001332); Failure to thrive (HP:0001508); Obesity (HP:0001513); Abnormal heart morphology (HP:0001627); Atrial septal defect (HP:0001631); Abnormal aortic valve morphology (HP:0001646); Abnormal facial shape (HP:0001999); Gastroesophageal reflux (HP:0002020); Ventriculomegaly (HP:0002119); Enlarged cisterna magna (HP:0002280); Scoliosis (HP:0002650); Platybasia (HP:0002691); Abnormal vertebral morphology (HP:0003468); Chiari type I malformation (HP:0007099); Paroxysmal dyskinesia (HP:0007166); Speech apraxia (HP:0011098); Midface retrusion (HP:0011800); Feeding difficulties (HP:0011968); Arachnoid cyst (HP:0100702),Unknown,,611913
