hgnc_id	symbol	name	entrez_id	ensembl_gene_id	uniprot_ids
HGNC:5	A1BG	alpha-1-B glycoprotein	1	ENSG00000121410	P04217
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	503538	ENSG00000268895	
HGNC:24086	A1CF	APOBEC1 complementation factor	29974	ENSG00000148584	Q9NQ94
HGNC:7	A2M	alpha-2-macroglobulin	2	ENSG00000175899	P01023
HGNC:27057	A2M-AS1	A2M antisense RNA 1	144571	ENSG00000245105	
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	144568	ENSG00000166535	A8K2U0
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	100874108	ENSG00000256661	
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	106478979	ENSG00000256904	
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	3	ENSG00000256069	
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	127550	ENSG00000184389	U3KPV4
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	53947	ENSG00000128274	Q9NPC4
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146	ENSG00000118017	Q9UNA3
HGNC:13666	AAAS	aladin WD repeat nucleoporin	8086	ENSG00000094914	Q9NRG9
HGNC:21298	AACS	acetoacetyl-CoA synthetase	65985	ENSG00000081760	Q86V21
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	729522	ENSG00000250420	
HGNC:17	AADAC	arylacetamide deacetylase	13	ENSG00000114771	P22760
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	344752	ENSG00000197953	Q6P093
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	101928142	ENSG00000242908	
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	126767	ENSG00000188984	Q5VUY0
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	343066	ENSG00000204518	Q5VUY2
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	201651	ENSG00000240602	
HGNC:17929	AADAT	aminoadipate aminotransferase	51166	ENSG00000109576	Q8N5Z0
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	79719	ENSG00000103591	Q6PD74
HGNC:19679	AAK1	AP2 associated kinase 1	22848	ENSG00000115977	Q2M2I8
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	28971	ENSG00000087884	Q9H7C9
HGNC:18	AAMP	angio associated migratory cell protein	14	ENSG00000127837	Q13685
HGNC:19	AANAT	aralkylamine N-acetyltransferase	15	ENSG00000129673	Q16613
HGNC:15886	AAR2	AAR2 splicing factor	25980	ENSG00000131043	Q9Y312
HGNC:33842	AARD	alanine and arginine rich domain containing protein	441376	ENSG00000205002	Q4LEZ3
HGNC:20	AARS1	alanyl-tRNA synthetase 1	16	ENSG00000090861	P49588
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	106480683	ENSG00000249038	
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	ENSG00000124608	Q5JTZ9
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	80755	ENSG00000266967	Q9BTE6
HGNC:54994	AARSD1P1	AARSD1 pseudogene 1	117981788	ENSG00000234969	
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	132949	ENSG00000157426	Q4L235
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	ENSG00000149313	Q9NRN7
HGNC:58262	AASDHPPT-AS1	AASDHPPT antisense RNA 1		ENSG00000254433	
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	10157	ENSG00000008311	Q9UDR5
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	284837	ENSG00000215458	
HGNC:19235	AATF	apoptosis antagonizing transcription factor	26574	ENSG00000275700	Q9NY61
HGNC:21	AATK	apoptosis associated tyrosine kinase	9625	ENSG00000181409	Q6ZMQ8
HGNC:22	AAVS1	adeno-associated virus integration site 1	17		
HGNC:23	ABAT	4-aminobutyrate aminotransferase	18	ENSG00000183044	P80404
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	19	ENSG00000165029	O95477
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	20	ENSG00000107331	Q9BZC7
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	21	ENSG00000167972	Q99758
HGNC:55707	ABCA3P1	ABCA3 pseudogene 1	342293	ENSG00000257408	
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	24	ENSG00000198691	P78363
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	23461	ENSG00000154265	Q8WWZ7
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	23460	ENSG00000154262	Q8N139
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	10347	ENSG00000064687	Q8IZY2
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	10351	ENSG00000141338	O94911
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	10350	ENSG00000154258	Q8IUA7
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	104355297	ENSG00000231749	
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	10349	ENSG00000154263	Q8WWZ4
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963	ENSG00000251595	
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	26154	ENSG00000144452	Q86UK0
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	154664	ENSG00000179869	Q86UQ4
HGNC:34405	ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	400508	ENSG00000189149	
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	650655	ENSG00000238098	
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	5243	ENSG00000085563	P08183
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	5244	ENSG00000005471	P21439
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	340273	ENSG00000004846	Q2M3G0
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	10058	ENSG00000115657	Q9NP58
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	22	ENSG00000131269	O75027
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	11194	ENSG00000197150	Q9NUT2
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	23457	ENSG00000150967	Q9NP78
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	23456	ENSG00000135776	Q9NRK6
